num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status;
25100490;CABLE TIPO TALLER DE 3X2.5 MM2;500V PLASTIX;MT;MT;1;
25100590;CURVA PLANA A 90õ CP-100-Z;PORTA CABLE SAMET;UN;UN;1;
25100620;SENSOR INDUCTIVO E2A-M12LN08;M1-B1 PNP NO Omrom No Enrasado;UN;UN;1;
25100627;CONECTOR TIPOM-12;BINDER RECTO MACHO;UN;UN;1;
25100816;PORTAFUSIBLE 3NP50 60-0CA00;SIEMENS;UN;UN;1;
25100873;RELE OMRON G2R-1-SN 110VAC;RELE OMRON G2R-1-SN 110VAC;UN;UN;1;
25100911;ARRANQUE SUAVE 4KW ABB;PSR 9-600-70;UN;UN;1;
25101009;CLAVIJA 2P+T 16A-H6 200-250V;SCAME 218.1633 Eureka IP67;UN;UN;1;
25101013;CLAVIJA 3P+T 32A-H4 110-130V;SCAME 218.3231 Eureka IP67;UN;UN;1;
25101109;FOTOCELULA BANNER M18SP6DQ;PNP NA RANGO 100;UN;UN;1;
25152610;TUBO FLUORESCENTE TLD 36W54;;UN;UN;1;
25152660;BORNERA SIMPLE 2.5 MM;PARA RIEL DIM BKF-2.5;UN;UN;1;
25152670;TIRA x 24 UNID. NUMERO 6 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25152672;TIRA x 24 UNID. NUMERO 8 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25152673;TIRA x 24 UNID. NUMERO 9 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25152675;TIRA x 24 UNID. LETRA S GRAFOP;LAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25152766;FUSIBLE NH-2 315 AMP;TIPOgLgG  L 149MM XA 60MM;UN;UN;1;
25152902;CENTRALINA MARCABRAHMA TIPO;MS592NS COD36223301 TW 1.5S;UN;UN;1;
25152919;FICHA HEMBRA 2 PATAS RED. Y 3;PATAS CHATAS DE 10 AMP. COMBIN;UN;UN;1;
25152963;TIRA x 24 UNID. LETRA U GRAFOP;LAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25153182;CONECTOR TIPOM-12;BINDER RECTO HEMBRA;UN;UN;1;
25153246;PULSADOR RASANTE LUMINOSO;VERDE ZB4-BW33 29908;UN;UN;1;
25153619;TARJETA AUXILIAR COD.SMC085029;29;UN;UN;1;
25153840;CABLE TIPO TALLER 4 X 2.5 MM2;500V;MT;MT;1;
25153841;FUSIBLE CILINDRICO 10X38 2 AMP;ERS.;UN;UN;1;
25153847;RELE OMRON G2R-2-SN 24 VDC;RELE OMRON G2R-2-SN 24 VDC;UN;UN;1;
25153915;PRENSA CABLE PG.16 MARCACONEX;TUBE;UN;UN;1;
25153920;BLOQUE AUX. CONTACTO SIMPLE NA;COD ZBE-101 TELEMECANIQUE;UN;UN;1;
25153921;BLOQUE AUX.CONTACTO SIMPLE NC;COD ZBE-102 TELEMECANIQUE;UN;UN;1;
25153960;BASE DE FIJACION CODZB4-BZ009;TELEMECANIQUE;UN;UN;1;
25154118;SELECTOR 3 POSICIONES FIJA;ZB4-BD3 NEGRA MANETA CORTA;UN;UN;1;
25154275;TERMINAL UNION AZUL B16;COD34071;UN;UN;1;
25154288;PRENSA CABLE PG.13.5 MARCACON;EXTUBE;UN;UN;1;
25154289;PRENSA CABLE PG.11 MARCA CONEX;TUBE;UN;UN;1;
25154427;TERMINAL HOJAL AMARILLO C3;COD160292 5 mm;UN;UN;1;
25154730;CAJA ALUMINIO CONEXTUBE;300X250X155.;UN;UN;1;
25154769;FOTOCELULA OMRON CODE3Z-T86;12 a 24DC EMISOR-RECEPTOR PNP;UN;UN;1;
25154864;PORTAFUSIBLE 10x38 UNIPOLAR P;RIEL DIN;UN;UN;1;
25155234;CABLE ROJO 1.0X10. MM2 COBRE A;ISL. PAST;MT;MT;1;
25155447;RIEL OMEGA CALADO (DIN DE 35 M;M);UN;UN;1;
25155515;LAMPARA BAJO CONSUMO 20WATT;PHILLIPS LUZ BLANCA;UN;UN;1;
25155517;ZOCALO CODP2RF-08-E PG2R-2SN;DC24 24VDC OMRON.;UN;UN;1;
25155589;CABLE 4x0.34MM2 TIPO LIFYY;;MT;MT;1;
25156750;TERMINAL CON LENGUETA 1.50 mm;COD.DZ5-CA015 NEGRO;UN;UN;1;
25156751;TERMINAL CON LENGUETA 2.50 mm;COD.DZ5-CA025 GRIS;UN;UN;1;
25156915;TRANSFORMADOR 380V A 110 150VA;TRANSFORMADOR 380V A 110 150VA;UN;UN;1;
25157063;ZOCALO CODP2RF-05-E- OMRON;ZOCALO CODP2RF-05-E- OMRON;UN;UN;1;
25157289;VENTILADOR MARCA  SUMON MODELO;A2175HBL 110VAC;UN;UN;1;
25157383;VENTILADOR +FILTRO+CELOSIA 221;MM 220V;UN;UN;1;
25157418;CABLE CANAL RANURADO 30X70MM;CK-030-70;MT;MT;1;
25157481;CONECTOR TIPOM-12;BINDER 90õ GRADOS HEMBRA;UN;UN;1;
25157508;MICRO  OMRON D4B-2116N;=FD 535 PIZZATTO;UN;UN;1;
25157514;CURVA VERTICAL ARTICULADA;CUP-100-Z  ( DE BANDEJA );UN;UN;1;
25300197;NIPLE 12 X 10 CM GALV;;UN;UN;1;
25300214;NIPLE 112 X 10 CM GALV;;UN;UN;1;
25600006;WD 40 X 311 GR.;;UN;UN;1;
25600008;CEPILLO DE ACERO 4X19 CMANGO;;UN;UN;1;
25600041;MECHA  AR 9.25 MM;;UN;UN;1;
25600056;MECHA DE WIDIA 8MM;;UN;UN;1;
25600077;HOJA DE SIERRA HSS24D 300X13X0;0,65;UN;UN;1;
25600078;ALEMITE RECTO M 6X1;;UN;UN;1;
25600080;ALEMITE RECTO M 8X1;;UN;UN;1;
25600081;ALEMITE RECTO M 10X1;;UN;UN;1;
25600087;ELECTRODO CONARCO 13 D.2.50 MM;ELECTRODO CONARCO 13 D.2.50 MM;KG;KG;1;
25600092;ELECTRODO CONARCO 13 D.3.25 MM;ELECTRODO CONARCO 13 D.3.25 MM;KG;KG;1;
25600096;ELECTRODO CONARCO.308L D 2.0MM;ELECTRODO CONARCO.308L D 2.0MM;KG;KG;1;
25600099;ELECTRODO CONARCO 13 D.2 MM;;KG;KG;1;
25600116;SELLADOR DE SILICONA TRANSP. F;IXMASTER;UN;UN;1;
25600126;GRAMPA PRENSA CABLE DE 14;;UN;UN;1;
25600133;TELA ESMERIL AA 100;;UN;UN;1;
25600144;DISCO DE AMOLAR 114X4.8X22.2;;UN;UN;1;
25600177;VARILLA ROSCA METRICA  6MM;;UN;UN;1;
25600178;VARILLA ROSCA METRICA  8MM;;UN;UN;1;
25600179;VARILLA ROSCA METRICA 10MM;;UN;UN;1;
25600180;VARILLA ROSCA METRICA 12MM;;UN;UN;1;
25600182;VARILLA ROSCA METRICA 16MM;;UN;UN;1;
25600183;VARILLA ROSCA METRICA 20MM;;UN;UN;1;
25600202;CHAVETA DE HIERRO PULIDO 3X40;MM;UN;UN;1;
25600209;ESPINA ELASTICA 4X36 MM;;UN;UN;1;
25600245;BULON CHEXAGONAL M 4X10;;UN;UN;1;
25600259;BULON CHEXAGONAL M 6X20;;UN;UN;1;
25600260;BULON CHEXAGONAL M 6X25;;UN;UN;1;
25600261;BULON CHEXAGONAL M 6X30;;UN;UN;1;
25600262;BULON CHEXAGONAL M 6X35;;UN;UN;1;
25600263;BULON CHEXAGONAL M 6X40;;UN;UN;1;
25600267;ARANDELA PLANA 8X16 BISELADA;;UN;UN;1;
25600268;ARANDELA PLANA 8X22;;UN;UN;1;
25600269;ARANDELA PLANA 10X20 BISELADA;;UN;UN;1;
25600271;ARANDELA PLANA 12X24 BISELADA;;UN;UN;1;
25600272;ARANDELA PLANA 12X32X3MM ESPES;OR;UN;UN;1;
25600275;ARANDELA PLANA 16X30 BISELADA;;UN;UN;1;
25600278;ARANDELA PLANA 27X60;;UN;UN;1;
25600282;ARANDELA GROWER 8 MM;;UN;UN;1;
25600289;TUERCA 4 MM;;UN;UN;1;
25600290;TUERCA 5 MM;;UN;UN;1;
25600291;TUERCA 6 MM;;UN;UN;1;
25600295;TUERCA 8 MM;;UN;UN;1;
25600298;TUERCA 12 MM;;UN;UN;1;
25600300;TUERCA 14 MM;;UN;UN;1;
25600301;TUERCA 16 MM GALVANIZADO;;UN;UN;1;
25600305;GRAMPA OMEGA 12';;UN;UN;1;
25600313;BULON CHEXAGONAL 10X35;;UN;UN;1;
25600319;ABRAZADERA TIPO AMERICANA Nõ2;DMI 25 (1) DMA 35 (1 38);UN;UN;1;
25600321;ABRAZADERA TIPO AMERICANA Nõ4;DMI 38 (1 12) DMA 50 (2);UN;UN;1;
25600348;TORNILLO PARKER  10X112;;UN;UN;1;
25600373;ARANDELA PLANA 4X12;;UN;UN;1;
25600377;ARANDELA PLANA 6X14 BISELADA;;UN;UN;1;
25600409;PRISIONERO PALLEN GUSANO 6X15;;UN;UN;1;
25600415;PRISIONERO PALLEN GUSANO 8X8;;UN;UN;1;
25600416;PRISIONERO PALLEN GUSANO 8X10;;UN;UN;1;
25600417;PRISIONERO PALLEN GUSANO 8X15;;UN;UN;1;
25600420;PRISIONERO PALLEN GUSANO 10X1;5;UN;UN;1;
25600442;BULON ALLEN CFREZADA M 5X10;;UN;UN;1;
25600444;BULON ALLEN CFREZADA M 5X20;;UN;UN;1;
25600447;BULON ALLEN CFREZADA M 6X20;;UN;UN;1;
25600454;BULON ALLEN CFREZADA M 8X10;;UN;UN;1;
25600455;BULON ALLEN CFREZADA M 8X15 C;ALIDAD 12.9;UN;UN;1;
25600488;BULON ALLEN M 4X30;;UN;UN;1;
25600508;BULON ALLEN M 8X25;;UN;UN;1;
25600513;BULON ALLEN M 8X50;;UN;UN;1;
25600519;BULON ALLEN 10x25 CALIDAD 12.9;BULON ALLEN 10x25 CALIDAD 12.9;UN;UN;1;
25600528;BULON CHEXAGONAL 8X15;;UN;UN;1;
25600529;BULON CHEXAGONAL 8X20;;UN;UN;1;
25600530;BULON CHEXAGONAL 8X25;;UN;UN;1;
25600531;BULON CHEXAGONAL 8X30;;UN;UN;1;
25600532;BULON CHEXAGONAL 8X35;;UN;UN;1;
25600533;BULON CHEXAGONAL 8X40;;UN;UN;1;
25600542;BULON CHEXAGONAL 10X20;;UN;UN;1;
25600543;BULON CHEXAGONAL 10X25;;UN;UN;1;
